Grupo,pre/post,tipo,Imagen,emocion,resultado,resultados,%
Grupo emoción,Pre,emp,1,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Pre,emp,1,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Pre,emp,1,Tristeza,Omisión,2,0.13333333333333333
Grupo emoción,Pre,emp,2,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Pre,emp,2,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Pre,emp,3,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Pre,emp,3,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Pre,emp,4,Tristeza,Acierto,12,0.8
Grupo emoción,Pre,emp,4,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Pre,emp,4,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Pre,emp,5,Enojo,Acierto,8,0.5333333333333333
Grupo emoción,Pre,emp,5,Enojo,Comisión,6,0.4
Grupo emoción,Pre,emp,5,Enojo,Omisión,1,0.06666666666666667
Grupo emoción,Pre,emp,6,Enojo,Acierto,6,0.4
Grupo emoción,Pre,emp,6,Enojo,Comisión,9,0.6
Grupo emoción,Pre,emp,7,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Pre,emp,7,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Pre,emp,7,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Pre,emp,8,Enojo,Acierto,14,0.9333333333333333
Grupo emoción,Pre,emp,8,Enojo,Comisión,1,0.06666666666666667
Grupo emoción,Pre,emp,9,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Pre,emp,9,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Pre,emp,9,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Pre,emp,10,Alegría,Acierto,12,0.8
Grupo emoción,Pre,emp,10,Alegría,Comisión,3,0.2
Grupo emoción,Pre,emp,11,Tristeza,Acierto,8,0.5333333333333333
Grupo emoción,Pre,emp,11,Tristeza,Comisión,5,0.3333333333333333
Grupo emoción,Pre,emp,11,Tristeza,Omisión,2,0.13333333333333333
Grupo emoción,Pre,emp,12,Alegría,Acierto,10,0.6666666666666666
Grupo emoción,Pre,emp,12,Alegría,Comisión,3,0.2
Grupo emoción,Pre,emp,12,Alegría,Omisión,2,0.13333333333333333
Grupo emoción,Pre,emp,13,Enojo,Acierto,7,0.4666666666666667
Grupo emoción,Pre,emp,13,Enojo,Comisión,4,0.26666666666666666
Grupo emoción,Pre,emp,13,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Pre,emp,14,Tristeza,Acierto,5,0.3333333333333333
Grupo emoción,Pre,emp,14,Tristeza,Comisión,7,0.4666666666666667
Grupo emoción,Pre,emp,14,Tristeza,Omisión,3,0.2
Grupo emoción,Pre,emp,15,Enojo,Acierto,9,0.6
Grupo emoción,Pre,emp,15,Enojo,Comisión,6,0.4
Grupo emoción,Pre,emp,16,Alegría,Acierto,10,0.6666666666666666
Grupo emoción,Pre,emp,16,Alegría,Comisión,3,0.2
Grupo emoción,Pre,emp,16,Alegría,Omisión,2,0.13333333333333333
Grupo emoción,Pre,emp,17,Enojo,Acierto,4,0.26666666666666666
Grupo emoción,Pre,emp,17,Enojo,Comisión,11,0.7333333333333333
Grupo emoción,Pre,emp,18,Enojo,Acierto,1,0.06666666666666667
Grupo emoción,Pre,emp,18,Enojo,Comisión,14,0.9333333333333333
Grupo emoción,Pre,emp,19,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Pre,emp,19,Tristeza,Comisión,3,0.2
Grupo emoción,Pre,emp,19,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Pre,emp,20,Enojo,Acierto,4,0.26666666666666666
Grupo emoción,Pre,emp,20,Enojo,Comisión,9,0.6
Grupo emoción,Pre,emp,20,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Pre,emp,21,Tristeza,Acierto,6,0.4
Grupo emoción,Pre,emp,21,Tristeza,Comisión,9,0.6
Grupo emoción,Pre,emp,22,Tristeza,Acierto,6,0.4
Grupo emoción,Pre,emp,22,Tristeza,Comisión,5,0.3333333333333333
Grupo emoción,Pre,emp,22,Tristeza,Omisión,4,0.26666666666666666
Grupo emoción,Pre,emp,23,Tristeza,Acierto,10,0.6666666666666666
Grupo emoción,Pre,emp,23,Tristeza,Comisión,5,0.3333333333333333
Grupo emoción,Pre,emp,24,Alegría,Acierto,10,0.6666666666666666
Grupo emoción,Pre,emp,24,Alegría,Comisión,5,0.3333333333333333
Grupo emoción,Pre,emp,25,Enojo,Acierto,5,0.3333333333333333
Grupo emoción,Pre,emp,25,Enojo,Comisión,7,0.4666666666666667
Grupo emoción,Pre,emp,25,Enojo,Omisión,3,0.2
Grupo emoción,Pre,emp,26,Alegría,Acierto,10,0.6666666666666666
Grupo emoción,Pre,emp,26,Alegría,Comisión,4,0.26666666666666666
Grupo emoción,Pre,emp,26,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Pre,emp,27,Tristeza,Acierto,7,0.4666666666666667
Grupo emoción,Pre,emp,27,Tristeza,Comisión,5,0.3333333333333333
Grupo emoción,Pre,emp,27,Tristeza,Omisión,3,0.2
Grupo emoción,Pre,emp,28,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Pre,emp,28,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Pre,emp,28,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Pre,emp,29,Tristeza,Acierto,9,0.6
Grupo emoción,Pre,emp,29,Tristeza,Comisión,3,0.2
Grupo emoción,Pre,emp,29,Tristeza,Omisión,3,0.2
Grupo emoción,Pre,emp,30,Enojo,Acierto,13,0.8666666666666667
Grupo emoción,Pre,emp,30,Enojo,Comisión,1,0.06666666666666667
Grupo emoción,Pre,emp,30,Enojo,Omisión,1,0.06666666666666667
Grupo emoción,Pre,mem,1,Alegría,Acierto,6,0.4
Grupo emoción,Pre,mem,1,Alegría,Comisión,4,0.26666666666666666
Grupo emoción,Pre,mem,1,Alegría,Omisión,5,0.3333333333333333
Grupo emoción,Pre,mem,2,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Pre,mem,2,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,2,Tristeza,Omisión,2,0.13333333333333333
Grupo emoción,Pre,mem,3,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Pre,mem,3,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Pre,mem,4,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Pre,mem,4,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,4,Tristeza,Omisión,2,0.13333333333333333
Grupo emoción,Pre,mem,5,Enojo,Acierto,11,0.7333333333333333
Grupo emoción,Pre,mem,5,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,5,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Pre,mem,6,Tristeza,Acierto,2,0.13333333333333333
Grupo emoción,Pre,mem,6,Tristeza,Comisión,9,0.6
Grupo emoción,Pre,mem,6,Tristeza,Omisión,4,0.26666666666666666
Grupo emoción,Pre,mem,7,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Pre,mem,7,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Pre,mem,8,Enojo,Acierto,8,0.5333333333333333
Grupo emoción,Pre,mem,8,Enojo,Comisión,3,0.2
Grupo emoción,Pre,mem,8,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Pre,mem,9,Alegría,Acierto,12,0.8
Grupo emoción,Pre,mem,9,Alegría,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,9,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Pre,mem,10,Tristeza,Acierto,8,0.5333333333333333
Grupo emoción,Pre,mem,10,Tristeza,Comisión,6,0.4
Grupo emoción,Pre,mem,10,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Pre,mem,11,Alegría,Acierto,11,0.7333333333333333
Grupo emoción,Pre,mem,11,Alegría,Comisión,3,0.2
Grupo emoción,Pre,mem,11,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Pre,mem,12,Alegría,Acierto,10,0.6666666666666666
Grupo emoción,Pre,mem,12,Alegría,Comisión,3,0.2
Grupo emoción,Pre,mem,12,Alegría,Omisión,2,0.13333333333333333
Grupo emoción,Pre,mem,13,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Pre,mem,13,Alegría,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,14,Enojo,Acierto,14,0.9333333333333333
Grupo emoción,Pre,mem,14,Enojo,Comisión,1,0.06666666666666667
Grupo emoción,Pre,mem,15,Alegría,Acierto,11,0.7333333333333333
Grupo emoción,Pre,mem,15,Alegría,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,15,Alegría,Omisión,2,0.13333333333333333
Grupo emoción,Pre,mem,16,Enojo,Acierto,5,0.3333333333333333
Grupo emoción,Pre,mem,16,Enojo,Comisión,6,0.4
Grupo emoción,Pre,mem,16,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Pre,mem,17,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Pre,mem,17,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Pre,mem,17,Tristeza,Omisión,3,0.2
Grupo emoción,Pre,mem,18,Tristeza,Acierto,9,0.6
Grupo emoción,Pre,mem,18,Tristeza,Comisión,3,0.2
Grupo emoción,Pre,mem,18,Tristeza,Omisión,3,0.2
Grupo emoción,Pre,mem,19,Enojo,Acierto,8,0.5333333333333333
Grupo emoción,Pre,mem,19,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,19,Enojo,Omisión,5,0.3333333333333333
Grupo emoción,Pre,mem,20,Enojo,Acierto,1,0.06666666666666667
Grupo emoción,Pre,mem,20,Enojo,Comisión,12,0.8
Grupo emoción,Pre,mem,20,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Pre,mem,21,Enojo,Acierto,13,0.8666666666666667
Grupo emoción,Pre,mem,21,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,22,Tristeza,Acierto,5,0.3333333333333333
Grupo emoción,Pre,mem,22,Tristeza,Comisión,6,0.4
Grupo emoción,Pre,mem,22,Tristeza,Omisión,4,0.26666666666666666
Grupo emoción,Pre,mem,23,Enojo,Acierto,12,0.8
Grupo emoción,Pre,mem,23,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,23,Enojo,Omisión,1,0.06666666666666667
Grupo emoción,Pre,mem,24,Alegría,Acierto,6,0.4
Grupo emoción,Pre,mem,24,Alegría,Comisión,6,0.4
Grupo emoción,Pre,mem,24,Alegría,Omisión,3,0.2
Grupo emoción,Pre,mem,25,Tristeza,Acierto,6,0.4
Grupo emoción,Pre,mem,25,Tristeza,Comisión,5,0.3333333333333333
Grupo emoción,Pre,mem,25,Tristeza,Omisión,4,0.26666666666666666
Grupo emoción,Pre,mem,26,Tristeza,Acierto,10,0.6666666666666666
Grupo emoción,Pre,mem,26,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,26,Tristeza,Omisión,3,0.2
Grupo emoción,Pre,mem,27,Enojo,Acierto,12,0.8
Grupo emoción,Pre,mem,27,Enojo,Comisión,1,0.06666666666666667
Grupo emoción,Pre,mem,27,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Pre,mem,28,Tristeza,Acierto,7,0.4666666666666667
Grupo emoción,Pre,mem,28,Tristeza,Comisión,3,0.2
Grupo emoción,Pre,mem,28,Tristeza,Omisión,5,0.3333333333333333
Grupo emoción,Pre,mem,29,Enojo,Acierto,11,0.7333333333333333
Grupo emoción,Pre,mem,29,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Pre,mem,29,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Pre,mem,30,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Pre,mem,30,Alegría,Comisión,2,0.13333333333333333
Grupo emoción,Post,emp,1,Tristeza,Acierto,13,0.8666666666666667
Grupo emoción,Post,emp,1,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,emp,1,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,2,Alegría,Acierto,15,1
Grupo emoción,Post,emp,3,Alegría,Acierto,15,1
Grupo emoción,Post,emp,4,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Post,emp,4,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Post,emp,4,Tristeza,Omisión,2,0.13333333333333333
Grupo emoción,Post,emp,5,Enojo,Acierto,12,0.8
Grupo emoción,Post,emp,5,Enojo,Comisión,3,0.2
Grupo emoción,Post,emp,6,Enojo,Acierto,4,0.26666666666666666
Grupo emoción,Post,emp,6,Enojo,Comisión,9,0.6
Grupo emoción,Post,emp,6,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Post,emp,7,Alegría,Acierto,12,0.8
Grupo emoción,Post,emp,7,Alegría,Comisión,2,0.13333333333333333
Grupo emoción,Post,emp,7,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,8,Enojo,Acierto,14,0.9333333333333333
Grupo emoción,Post,emp,8,Enojo,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,9,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Post,emp,9,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,10,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Post,emp,10,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Post,emp,10,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,11,Tristeza,Acierto,12,0.8
Grupo emoción,Post,emp,11,Tristeza,Comisión,3,0.2
Grupo emoción,Post,emp,12,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Post,emp,12,Alegría,Omisión,2,0.13333333333333333
Grupo emoción,Post,emp,13,Enojo,Acierto,10,0.6666666666666666
Grupo emoción,Post,emp,13,Enojo,Comisión,1,0.06666666666666667
Grupo emoción,Post,emp,13,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Post,emp,14,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Post,emp,14,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,emp,14,Tristeza,Omisión,3,0.2
Grupo emoción,Post,emp,15,Enojo,Acierto,9,0.6
Grupo emoción,Post,emp,15,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Post,emp,15,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Post,emp,16,Alegría,Acierto,10,0.6666666666666666
Grupo emoción,Post,emp,16,Alegría,Comisión,5,0.3333333333333333
Grupo emoción,Post,emp,17,Enojo,Acierto,6,0.4
Grupo emoción,Post,emp,17,Enojo,Comisión,8,0.5333333333333333
Grupo emoción,Post,emp,17,Enojo,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,18,Enojo,Acierto,2,0.13333333333333333
Grupo emoción,Post,emp,18,Enojo,Comisión,13,0.8666666666666667
Grupo emoción,Post,emp,19,Tristeza,Acierto,10,0.6666666666666666
Grupo emoción,Post,emp,19,Tristeza,Comisión,4,0.26666666666666666
Grupo emoción,Post,emp,19,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,20,Enojo,Acierto,2,0.13333333333333333
Grupo emoción,Post,emp,20,Enojo,Comisión,12,0.8
Grupo emoción,Post,emp,20,Enojo,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,21,Tristeza,Acierto,10,0.6666666666666666
Grupo emoción,Post,emp,21,Tristeza,Comisión,4,0.26666666666666666
Grupo emoción,Post,emp,21,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,22,Tristeza,Acierto,5,0.3333333333333333
Grupo emoción,Post,emp,22,Tristeza,Comisión,6,0.4
Grupo emoción,Post,emp,22,Tristeza,Omisión,4,0.26666666666666666
Grupo emoción,Post,emp,23,Tristeza,Acierto,13,0.8666666666666667
Grupo emoción,Post,emp,23,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,emp,23,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,emp,24,Alegría,Acierto,9,0.6
Grupo emoción,Post,emp,24,Alegría,Comisión,6,0.4
Grupo emoción,Post,emp,25,Enojo,Acierto,3,0.2
Grupo emoción,Post,emp,25,Enojo,Comisión,6,0.4
Grupo emoción,Post,emp,25,Enojo,Omisión,6,0.4
Grupo emoción,Post,emp,26,Alegría,Acierto,9,0.6
Grupo emoción,Post,emp,26,Alegría,Comisión,3,0.2
Grupo emoción,Post,emp,26,Alegría,Omisión,3,0.2
Grupo emoción,Post,emp,27,Tristeza,Acierto,10,0.6666666666666666
Grupo emoción,Post,emp,27,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Post,emp,27,Tristeza,Omisión,3,0.2
Grupo emoción,Post,emp,28,Alegría,Acierto,12,0.8
Grupo emoción,Post,emp,28,Alegría,Comisión,3,0.2
Grupo emoción,Post,emp,29,Tristeza,Acierto,12,0.8
Grupo emoción,Post,emp,29,Tristeza,Omisión,3,0.2
Grupo emoción,Post,emp,30,Enojo,Acierto,15,1
Grupo emoción,Post,mem,1,Alegría,Acierto,8,0.5333333333333333
Grupo emoción,Post,mem,1,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,1,Alegría,Omisión,6,0.4
Grupo emoción,Post,mem,2,Tristeza,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,2,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,3,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,3,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,4,Tristeza,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,4,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,4,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,5,Enojo,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,5,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Post,mem,6,Tristeza,Acierto,5,0.3333333333333333
Grupo emoción,Post,mem,6,Tristeza,Comisión,3,0.2
Grupo emoción,Post,mem,6,Tristeza,Omisión,7,0.4666666666666667
Grupo emoción,Post,mem,7,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,7,Alegría,Omisión,2,0.13333333333333333
Grupo emoción,Post,mem,8,Enojo,Acierto,9,0.6
Grupo emoción,Post,mem,8,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,8,Enojo,Omisión,4,0.26666666666666666
Grupo emoción,Post,mem,9,Alegría,Acierto,15,1
Grupo emoción,Post,mem,10,Tristeza,Acierto,5,0.3333333333333333
Grupo emoción,Post,mem,10,Tristeza,Comisión,4,0.26666666666666666
Grupo emoción,Post,mem,10,Tristeza,Omisión,6,0.4
Grupo emoción,Post,mem,11,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,11,Alegría,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,12,Alegría,Acierto,15,1
Grupo emoción,Post,mem,13,Alegría,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,13,Alegría,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,13,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,14,Enojo,Acierto,13,0.8666666666666667
Grupo emoción,Post,mem,14,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Post,mem,15,Alegría,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,15,Alegría,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,16,Enojo,Acierto,7,0.4666666666666667
Grupo emoción,Post,mem,16,Enojo,Comisión,6,0.4
Grupo emoción,Post,mem,16,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Post,mem,17,Tristeza,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,17,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,18,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,18,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,18,Tristeza,Omisión,3,0.2
Grupo emoción,Post,mem,19,Enojo,Acierto,10,0.6666666666666666
Grupo emoción,Post,mem,19,Enojo,Comisión,3,0.2
Grupo emoción,Post,mem,19,Enojo,Omisión,2,0.13333333333333333
Grupo emoción,Post,mem,20,Enojo,Acierto,3,0.2
Grupo emoción,Post,mem,20,Enojo,Comisión,9,0.6
Grupo emoción,Post,mem,20,Enojo,Omisión,3,0.2
Grupo emoción,Post,mem,21,Enojo,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,21,Enojo,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,22,Tristeza,Acierto,3,0.2
Grupo emoción,Post,mem,22,Tristeza,Comisión,5,0.3333333333333333
Grupo emoción,Post,mem,22,Tristeza,Omisión,7,0.4666666666666667
Grupo emoción,Post,mem,23,Enojo,Acierto,14,0.9333333333333333
Grupo emoción,Post,mem,23,Enojo,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,24,Alegría,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,24,Alegría,Omisión,4,0.26666666666666666
Grupo emoción,Post,mem,25,Tristeza,Acierto,8,0.5333333333333333
Grupo emoción,Post,mem,25,Tristeza,Comisión,3,0.2
Grupo emoción,Post,mem,25,Tristeza,Omisión,4,0.26666666666666666
Grupo emoción,Post,mem,26,Tristeza,Acierto,12,0.8
Grupo emoción,Post,mem,26,Tristeza,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,26,Tristeza,Omisión,1,0.06666666666666667
Grupo emoción,Post,mem,27,Enojo,Acierto,10,0.6666666666666666
Grupo emoción,Post,mem,27,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,27,Enojo,Omisión,3,0.2
Grupo emoción,Post,mem,28,Tristeza,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,28,Tristeza,Comisión,1,0.06666666666666667
Grupo emoción,Post,mem,28,Tristeza,Omisión,3,0.2
Grupo emoción,Post,mem,29,Enojo,Acierto,6,0.4
Grupo emoción,Post,mem,29,Enojo,Comisión,2,0.13333333333333333
Grupo emoción,Post,mem,29,Enojo,Omisión,7,0.4666666666666667
Grupo emoción,Post,mem,30,Alegría,Acierto,11,0.7333333333333333
Grupo emoción,Post,mem,30,Alegría,Omisión,4,0.26666666666666666
Grupo identidad,Pre,emp,1,Tristeza,Acierto,12,0.8571428571428571
Grupo identidad,Pre,emp,1,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,2,Alegría,Acierto,14,1
Grupo identidad,Pre,emp,3,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,3,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,3,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,4,Tristeza,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,4,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,4,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,5,Enojo,Acierto,10,0.7142857142857143
Grupo identidad,Pre,emp,5,Enojo,Comisión,3,0.21428571428571427
Grupo identidad,Pre,emp,5,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,6,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Pre,emp,6,Enojo,Comisión,12,0.8571428571428571
