Grupo,pre/post,tipo,Imagen,emocion,resultado,resultados,%
Grupo identidad,Pre,emp,6,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,7,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,7,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,7,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,8,Enojo,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,8,Enojo,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,9,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,9,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Pre,emp,9,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,10,Alegría,Acierto,12,0.8571428571428571
Grupo identidad,Pre,emp,10,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Pre,emp,10,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,11,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,11,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Pre,emp,11,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,12,Alegría,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,12,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,emp,12,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,13,Enojo,Acierto,7,0.5
Grupo identidad,Pre,emp,13,Enojo,Comisión,5,0.35714285714285715
Grupo identidad,Pre,emp,13,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,14,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Pre,emp,14,Tristeza,Comisión,5,0.35714285714285715
Grupo identidad,Pre,emp,14,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,15,Enojo,Acierto,7,0.5
Grupo identidad,Pre,emp,15,Enojo,Comisión,4,0.2857142857142857
Grupo identidad,Pre,emp,15,Enojo,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,16,Alegría,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,16,Alegría,Comisión,4,0.2857142857142857
Grupo identidad,Pre,emp,16,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,17,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Pre,emp,17,Enojo,Comisión,8,0.5714285714285714
Grupo identidad,Pre,emp,17,Enojo,Omisión,5,0.35714285714285715
Grupo identidad,Pre,emp,18,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Pre,emp,18,Enojo,Comisión,12,0.8571428571428571
Grupo identidad,Pre,emp,18,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,19,Tristeza,Acierto,7,0.5
Grupo identidad,Pre,emp,19,Tristeza,Comisión,4,0.2857142857142857
Grupo identidad,Pre,emp,19,Tristeza,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,20,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Pre,emp,20,Enojo,Comisión,9,0.6428571428571429
Grupo identidad,Pre,emp,20,Enojo,Omisión,4,0.2857142857142857
Grupo identidad,Pre,emp,21,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,21,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Pre,emp,21,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,22,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Pre,emp,22,Tristeza,Comisión,5,0.35714285714285715
Grupo identidad,Pre,emp,22,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,23,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,23,Tristeza,Comisión,4,0.2857142857142857
Grupo identidad,Pre,emp,23,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,24,Alegría,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,24,Alegría,Comisión,3,0.21428571428571427
Grupo identidad,Pre,emp,24,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Pre,emp,25,Enojo,Acierto,9,0.6428571428571429
Grupo identidad,Pre,emp,25,Enojo,Comisión,4,0.2857142857142857
Grupo identidad,Pre,emp,25,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,26,Alegría,Acierto,14,1
Grupo identidad,Pre,emp,27,Tristeza,Acierto,5,0.35714285714285715
Grupo identidad,Pre,emp,27,Tristeza,Comisión,8,0.5714285714285714
Grupo identidad,Pre,emp,27,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,28,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,emp,28,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Pre,emp,29,Tristeza,Acierto,13,0.9285714285714286
Grupo identidad,Pre,emp,29,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,emp,30,Enojo,Acierto,13,0.9285714285714286
Grupo identidad,Pre,emp,30,Enojo,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,1,Alegría,Acierto,4,0.2857142857142857
Grupo identidad,Pre,mem,1,Alegría,Comisión,4,0.2857142857142857
Grupo identidad,Pre,mem,1,Alegría,Omisión,6,0.42857142857142855
Grupo identidad,Pre,mem,2,Tristeza,Acierto,11,0.7857142857142857
Grupo identidad,Pre,mem,2,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Pre,mem,2,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Pre,mem,3,Alegría,Acierto,12,0.8571428571428571
Grupo identidad,Pre,mem,3,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Pre,mem,4,Tristeza,Acierto,12,0.8571428571428571
Grupo identidad,Pre,mem,4,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Pre,mem,5,Enojo,Acierto,6,0.42857142857142855
Grupo identidad,Pre,mem,5,Enojo,Comisión,3,0.21428571428571427
Grupo identidad,Pre,mem,5,Enojo,Omisión,5,0.35714285714285715
Grupo identidad,Pre,mem,6,Tristeza,Acierto,4,0.2857142857142857
Grupo identidad,Pre,mem,6,Tristeza,Comisión,8,0.5714285714285714
Grupo identidad,Pre,mem,6,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Pre,mem,7,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,mem,7,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,7,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Pre,mem,8,Enojo,Acierto,8,0.5714285714285714
Grupo identidad,Pre,mem,8,Enojo,Comisión,3,0.21428571428571427
Grupo identidad,Pre,mem,8,Enojo,Omisión,3,0.21428571428571427
Grupo identidad,Pre,mem,9,Alegría,Acierto,14,1
Grupo identidad,Pre,mem,10,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Pre,mem,10,Tristeza,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,10,Tristeza,Omisión,4,0.2857142857142857
Grupo identidad,Pre,mem,11,Alegría,Acierto,10,0.7142857142857143
Grupo identidad,Pre,mem,11,Alegría,Omisión,4,0.2857142857142857
Grupo identidad,Pre,mem,12,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,mem,12,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,mem,12,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,mem,13,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,mem,13,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,13,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Pre,mem,14,Enojo,Acierto,14,1
Grupo identidad,Pre,mem,15,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,mem,15,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,mem,15,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Pre,mem,16,Enojo,Acierto,7,0.5
Grupo identidad,Pre,mem,16,Enojo,Comisión,4,0.2857142857142857
Grupo identidad,Pre,mem,16,Enojo,Omisión,3,0.21428571428571427
Grupo identidad,Pre,mem,17,Tristeza,Acierto,12,0.8571428571428571
Grupo identidad,Pre,mem,17,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Pre,mem,18,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Pre,mem,18,Tristeza,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,18,Tristeza,Omisión,4,0.2857142857142857
Grupo identidad,Pre,mem,19,Enojo,Acierto,8,0.5714285714285714
Grupo identidad,Pre,mem,19,Enojo,Comisión,2,0.14285714285714285
Grupo identidad,Pre,mem,19,Enojo,Omisión,4,0.2857142857142857
Grupo identidad,Pre,mem,20,Enojo,Comisión,12,0.8571428571428571
Grupo identidad,Pre,mem,20,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Pre,mem,21,Enojo,Acierto,12,0.8571428571428571
Grupo identidad,Pre,mem,21,Enojo,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,21,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,mem,22,Tristeza,Acierto,3,0.21428571428571427
Grupo identidad,Pre,mem,22,Tristeza,Comisión,5,0.35714285714285715
Grupo identidad,Pre,mem,22,Tristeza,Omisión,6,0.42857142857142855
Grupo identidad,Pre,mem,23,Enojo,Acierto,13,0.9285714285714286
Grupo identidad,Pre,mem,23,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Pre,mem,24,Alegría,Acierto,8,0.5714285714285714
Grupo identidad,Pre,mem,24,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Pre,mem,24,Alegría,Omisión,4,0.2857142857142857
Grupo identidad,Pre,mem,25,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Pre,mem,25,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Pre,mem,25,Tristeza,Omisión,3,0.21428571428571427
Grupo identidad,Pre,mem,26,Tristeza,Acierto,7,0.5
Grupo identidad,Pre,mem,26,Tristeza,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,26,Tristeza,Omisión,6,0.42857142857142855
Grupo identidad,Pre,mem,27,Enojo,Acierto,10,0.7142857142857143
Grupo identidad,Pre,mem,27,Enojo,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,27,Enojo,Omisión,3,0.21428571428571427
Grupo identidad,Pre,mem,28,Tristeza,Acierto,10,0.7142857142857143
Grupo identidad,Pre,mem,28,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Pre,mem,28,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Pre,mem,29,Enojo,Acierto,11,0.7857142857142857
Grupo identidad,Pre,mem,29,Enojo,Comisión,1,0.07142857142857142
Grupo identidad,Pre,mem,29,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Pre,mem,30,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Pre,mem,30,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Post,emp,1,Tristeza,Acierto,13,0.9285714285714286
Grupo identidad,Post,emp,1,Tristeza,Comisión,1,0.07142857142857142
Grupo identidad,Post,emp,2,Alegría,Acierto,14,1
Grupo identidad,Post,emp,3,Alegría,Acierto,14,1
Grupo identidad,Post,emp,4,Tristeza,Acierto,11,0.7857142857142857
Grupo identidad,Post,emp,4,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Post,emp,5,Enojo,Acierto,8,0.5714285714285714
Grupo identidad,Post,emp,5,Enojo,Comisión,6,0.42857142857142855
Grupo identidad,Post,emp,6,Enojo,Acierto,3,0.21428571428571427
Grupo identidad,Post,emp,6,Enojo,Comisión,10,0.7142857142857143
Grupo identidad,Post,emp,6,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,7,Alegría,Acierto,14,1
Grupo identidad,Post,emp,8,Enojo,Acierto,14,1
Grupo identidad,Post,emp,9,Alegría,Acierto,12,0.8571428571428571
Grupo identidad,Post,emp,9,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Post,emp,10,Alegría,Acierto,13,0.9285714285714286
Grupo identidad,Post,emp,10,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Post,emp,11,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Post,emp,11,Tristeza,Comisión,5,0.35714285714285715
Grupo identidad,Post,emp,11,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,12,Alegría,Acierto,12,0.8571428571428571
Grupo identidad,Post,emp,12,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Post,emp,12,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,13,Enojo,Acierto,11,0.7857142857142857
Grupo identidad,Post,emp,13,Enojo,Comisión,2,0.14285714285714285
Grupo identidad,Post,emp,13,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,14,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Post,emp,14,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Post,emp,14,Tristeza,Omisión,3,0.21428571428571427
Grupo identidad,Post,emp,15,Enojo,Acierto,6,0.42857142857142855
Grupo identidad,Post,emp,15,Enojo,Comisión,7,0.5
Grupo identidad,Post,emp,15,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,16,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Post,emp,16,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Post,emp,16,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,17,Enojo,Acierto,3,0.21428571428571427
Grupo identidad,Post,emp,17,Enojo,Comisión,9,0.6428571428571429
Grupo identidad,Post,emp,17,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Post,emp,18,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Post,emp,18,Enojo,Comisión,12,0.8571428571428571
Grupo identidad,Post,emp,18,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,19,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Post,emp,19,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Post,emp,19,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Post,emp,20,Enojo,Acierto,2,0.14285714285714285
Grupo identidad,Post,emp,20,Enojo,Comisión,10,0.7142857142857143
Grupo identidad,Post,emp,20,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Post,emp,21,Tristeza,Acierto,7,0.5
Grupo identidad,Post,emp,21,Tristeza,Comisión,6,0.42857142857142855
Grupo identidad,Post,emp,21,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,22,Tristeza,Acierto,10,0.7142857142857143
Grupo identidad,Post,emp,22,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Post,emp,22,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Post,emp,23,Tristeza,Acierto,11,0.7857142857142857
Grupo identidad,Post,emp,23,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Post,emp,24,Alegría,Acierto,9,0.6428571428571429
Grupo identidad,Post,emp,24,Alegría,Comisión,3,0.21428571428571427
Grupo identidad,Post,emp,24,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Post,emp,25,Enojo,Acierto,10,0.7142857142857143
Grupo identidad,Post,emp,25,Enojo,Comisión,2,0.14285714285714285
Grupo identidad,Post,emp,25,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Post,emp,26,Alegría,Acierto,9,0.6428571428571429
Grupo identidad,Post,emp,26,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Post,emp,26,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Post,emp,27,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Post,emp,27,Tristeza,Comisión,4,0.2857142857142857
Grupo identidad,Post,emp,27,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Post,emp,28,Alegría,Acierto,7,0.5
Grupo identidad,Post,emp,28,Alegría,Comisión,3,0.21428571428571427
Grupo identidad,Post,emp,28,Alegría,Omisión,4,0.2857142857142857
Grupo identidad,Post,emp,29,Tristeza,Acierto,11,0.7857142857142857
Grupo identidad,Post,emp,29,Tristeza,Comisión,1,0.07142857142857142
Grupo identidad,Post,emp,29,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Post,emp,30,Enojo,Acierto,14,1
Grupo identidad,Post,mem,1,Alegría,Acierto,6,0.42857142857142855
Grupo identidad,Post,mem,1,Alegría,Comisión,4,0.2857142857142857
Grupo identidad,Post,mem,1,Alegría,Omisión,4,0.2857142857142857
Grupo identidad,Post,mem,2,Tristeza,Acierto,11,0.7857142857142857
Grupo identidad,Post,mem,2,Tristeza,Comisión,1,0.07142857142857142
Grupo identidad,Post,mem,2,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Post,mem,3,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Post,mem,3,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Post,mem,4,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Post,mem,4,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Post,mem,4,Tristeza,Omisión,4,0.2857142857142857
Grupo identidad,Post,mem,5,Enojo,Acierto,7,0.5
Grupo identidad,Post,mem,5,Enojo,Comisión,3,0.21428571428571427
Grupo identidad,Post,mem,5,Enojo,Omisión,4,0.2857142857142857
Grupo identidad,Post,mem,6,Tristeza,Acierto,7,0.5
Grupo identidad,Post,mem,6,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Post,mem,6,Tristeza,Omisión,5,0.35714285714285715
Grupo identidad,Post,mem,7,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Post,mem,7,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Post,mem,8,Enojo,Acierto,12,0.8571428571428571
Grupo identidad,Post,mem,8,Enojo,Comisión,1,0.07142857142857142
Grupo identidad,Post,mem,8,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Post,mem,9,Alegría,Acierto,12,0.8571428571428571
Grupo identidad,Post,mem,9,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Post,mem,10,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Post,mem,10,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Post,mem,10,Tristeza,Omisión,3,0.21428571428571427
Grupo identidad,Post,mem,11,Alegría,Acierto,13,0.9285714285714286
Grupo identidad,Post,mem,11,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Post,mem,12,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Post,mem,12,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Post,mem,13,Alegría,Acierto,12,0.8571428571428571
Grupo identidad,Post,mem,13,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Post,mem,13,Alegría,Omisión,1,0.07142857142857142
Grupo identidad,Post,mem,14,Enojo,Acierto,12,0.8571428571428571
Grupo identidad,Post,mem,14,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Post,mem,15,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Post,mem,15,Alegría,Omisión,3,0.21428571428571427
Grupo identidad,Post,mem,16,Enojo,Acierto,5,0.35714285714285715
Grupo identidad,Post,mem,16,Enojo,Comisión,4,0.2857142857142857
Grupo identidad,Post,mem,16,Enojo,Omisión,5,0.35714285714285715
Grupo identidad,Post,mem,17,Tristeza,Acierto,11,0.7857142857142857
Grupo identidad,Post,mem,17,Tristeza,Comisión,1,0.07142857142857142
Grupo identidad,Post,mem,17,Tristeza,Omisión,2,0.14285714285714285
Grupo identidad,Post,mem,18,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Post,mem,18,Tristeza,Comisión,1,0.07142857142857142
Grupo identidad,Post,mem,18,Tristeza,Omisión,4,0.2857142857142857
Grupo identidad,Post,mem,19,Enojo,Acierto,7,0.5
Grupo identidad,Post,mem,19,Enojo,Comisión,4,0.2857142857142857
Grupo identidad,Post,mem,19,Enojo,Omisión,3,0.21428571428571427
Grupo identidad,Post,mem,20,Enojo,Acierto,1,0.07142857142857142
Grupo identidad,Post,mem,20,Enojo,Comisión,8,0.5714285714285714
Grupo identidad,Post,mem,20,Enojo,Omisión,5,0.35714285714285715
Grupo identidad,Post,mem,21,Enojo,Acierto,12,0.8571428571428571
Grupo identidad,Post,mem,21,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Post,mem,22,Tristeza,Acierto,4,0.2857142857142857
Grupo identidad,Post,mem,22,Tristeza,Comisión,6,0.42857142857142855
Grupo identidad,Post,mem,22,Tristeza,Omisión,4,0.2857142857142857
Grupo identidad,Post,mem,23,Enojo,Acierto,13,0.9285714285714286
Grupo identidad,Post,mem,23,Enojo,Omisión,1,0.07142857142857142
Grupo identidad,Post,mem,24,Alegría,Acierto,11,0.7857142857142857
Grupo identidad,Post,mem,24,Alegría,Comisión,1,0.07142857142857142
Grupo identidad,Post,mem,24,Alegría,Omisión,2,0.14285714285714285
Grupo identidad,Post,mem,25,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Post,mem,25,Tristeza,Comisión,2,0.14285714285714285
Grupo identidad,Post,mem,25,Tristeza,Omisión,4,0.2857142857142857
Grupo identidad,Post,mem,26,Tristeza,Acierto,9,0.6428571428571429
Grupo identidad,Post,mem,26,Tristeza,Comisión,4,0.2857142857142857
Grupo identidad,Post,mem,26,Tristeza,Omisión,1,0.07142857142857142
Grupo identidad,Post,mem,27,Enojo,Acierto,11,0.7857142857142857
Grupo identidad,Post,mem,27,Enojo,Comisión,1,0.07142857142857142
Grupo identidad,Post,mem,27,Enojo,Omisión,2,0.14285714285714285
Grupo identidad,Post,mem,28,Tristeza,Acierto,8,0.5714285714285714
Grupo identidad,Post,mem,28,Tristeza,Comisión,3,0.21428571428571427
Grupo identidad,Post,mem,28,Tristeza,Omisión,3,0.21428571428571427
Grupo identidad,Post,mem,29,Enojo,Acierto,8,0.5714285714285714
Grupo identidad,Post,mem,29,Enojo,Omisión,6,0.42857142857142855
Grupo identidad,Post,mem,30,Alegría,Acierto,6,0.42857142857142855
Grupo identidad,Post,mem,30,Alegría,Comisión,2,0.14285714285714285
Grupo identidad,Post,mem,30,Alegría,Omisión,6,0.42857142857142855
